reaction_id,median_fluxes
CSND,0.005192738389119498
SERt2r,-291143.05110130017
MALTt2,165305.53077038995
DPCOAK,6.25649301563448e-05
IPDDI,0.036958652421524546
HACD9m,0.02025851906001829
PI3P5Kn_RT,0.0
AMETt2m,0.00018038200079262718
GALT,-385120.6124840521
POLYAO3,5.7878373859598936e-05
DUTCP,0.2847806594893001
ALATA_Lm,-0.12157392932425978
C3STDH2er,0.016715981138530324
PSERDm_RT,0.0029919056499025922
ACOAHim,0.160080275876403
GDPMANNtg,2.2308755843133085e-11
RNDR3,3.671241959697023e-05
SPRMt2i,0.0
EPGALURSe,0.0
HYPOE,0.0
PUNP3,0.0
CYTDK1,0.0
IGPDH,0.007941136681952982
SPMDtex2,419820.7562612388
HMPK1,0.0
FACOAL240p,0.13365287527258463
ACOAO9p,0.0
GLUTRSm,0.0
VALTA,4485.387244016671
SO3ti,0.23466250942401862
TRE6PS,0.05561480520625092
GALUi,385122.15670503036
DPMVD,0.11305093639130184
CBPS,0.3448293781883567
DTTUP,0.0
FACOAL100,0.0
GLUTCOADHm,0.07258853690721559
ZYMSTESTH_RT,9.829092287947584e-05
KYN3OX,0.015203607502723865
URIK3,4.058978508481389e-05
CYSTS,0.01384198845758521
MAOX,0.0
NMNATm,0.0
ALCD24yi,0.0
FDH,0.003691990813460011
NICRNS,5.049319001751377e-06
MTAP,0.11461183530224117
ASPTAm,-0.08052195597841369
CAT,0.020044019934770025
SUCCtm,1.0948929587365177
ORPT,-0.00835428682642434
ATPATF3,0.0
CERS226er,-5.710647934451893e-13
URIK2,0.0
ICDHxm,1.8205635521998573
HPROa,0.0
ALLTNti,0.0
SLCBK1er,0.003109120536182089
ACACT7m,-0.011251767182206673
PFK26,0.0
DUTPDP,0.0
FAS100COA,0.06786224685100381
ECOAH8p,-0.0023525519457691067
DCYTD,0.0
OCOAT1m,0.10317018120488294
G3PCt,0.0
GLNt7,0.0
ASPt2r,0.18517034322617903
PGI,-0.3006222837766619
GLYCLm,0.0
PIt2r,193309.5403379273
CHORS,0.07995414120523545
ANPRT,0.09272275552136611
GPDDA1,0.016836872344322948
PTRCtex2,647343.933043521
ACGSm,0.0
ACS,1.2379762762261521
GLUSx,0.25414420297685414
DDPA,0.10729231754979823
MAN6PI,-0.06564775412937479
HACD1p,0.0
ACHLE1,0.0
PAL,0.0
HEMEASm,5.614592907554561e-05
PTE8x,0.0
RNDR2n,0.0
PTE12x,0.13294752399410475
ACONT3m,0.025036331216559016
ANS,0.01891122925299203
ALLTTti,0.0
PDE3,0.0
POLYAO2,0.07639555894143206
ARMT,0.0
GTPCII,0.00014146174026125264
PRPNCOAHYDm,0.13495134431699374
SUCD2_u9m,2.7057291169618587
GLUPRT,0.012453914913707067
THIORDXi,0.009015224990919005
MALSp,0.24551970051854405
ALDD2y,0.04886798634685123
HISTD,0.007941136681952982
ASNNe,0.18517034322617903
PYDXS,0.0007287586183576559
RBFSb,0.00014146174026125264
KARA2im,0.03316695204389132
HMGCOAR,-0.11305093639130184
PTE11m,0.0
MI145PKn,0.0
FACOAL1831,0.005496196656981018
AP4AH,0.0
RNDR2,0.00030575555873213424
L_LACt2r,0.0
GUAD,0.0
INDPYRD,-482433.1016872201
4MOPDC,0.0
UDPACGLP,-291113.9324307507
LNSTLSr,0.01732968310425775
PI45BP5Per_RT,0.0
LCYSTATm,0.0
RBFK,6.1021118286158236e-05
ARGSL,0.10180965719358182
FACOAL140,0.0
ZYMSTATer_RT,0.0019234572958095155
ALDD2ym,0.4432688925160305
FUMm,2.5820962422727143
MIPCS126g_RT,1.905390566084354e-12
CERS124er,-3.034247209650367e-12
UTPtm,0.0
PNP,0.037912953961992735
ECOAH5p,-0.009544371130399704
HGNTOR,0.01311333565464798
ALCD23xi,0.0
G5SADm,0.008070570666799436
ME1m,0.020203327247919733
FBP26,0.0
MI3PP,0.00038188982149792004
PRPPS,0.21081837634965253
HSDy,357088.4151700849
NNATm,0.0
ECOAH11p,0.0
GLCt1,1.1112837418050479
ECOAH7m,-0.011251767182206673
ASNTRS,0.008772902984495987
ADK4m,61893.01425270506
TRPt2r,0.0
PPM,-0.28326039039332834
ERGSTESTH_RT,0.0052523649734595185
THIORDXp,0.0
MTHFR3,0.008327459585234273
